URL_ID,URL,positive_score,negative_score,Polarity_Score,subjectiivity_score,avg_senetence_length,Percentage_of_Complex_words,Fog_Index,avg_no_of_words_per_sentence,complex_Word_Count,word_count,syllable_count,personal_pronouns,avg_word_length
27,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,35,9,0.590909077,0.022608696,139.2708333,0.253913043,55.80989855,23.875,292,1150,2138,4,4.85826087
28,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,28,8,0.55555554,0.031796502,160.44,0.314785374,64.30191415,24.88,198,629,1330,1,5.427662957
29,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,20,9,0.379310332,0.027777778,80.23333333,0.257575758,32.19636364,13.16666667,102,396,797,0,5.154040404
30,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,6,0,0.999999833,0.035714286,96.90909091,0.321428571,38.89220779,15.27272727,54,168,350,2,5.410714286
31,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,27,37,-0.156249998,-0.012315271,82.78571429,0.206896552,33.19704433,14.48214286,168,812,1492,19,4.77955665
32,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,11,2,0.692307639,0.047619047,100.4545455,0.248677249,40.28128908,17.18181818,47,189,364,1,4.904761905
33,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,53,19,0.472222216,0.029059829,122.6349206,0.357264957,49.19687424,18.52380952,418,1170,2586,0,5.65982906
34,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,14,18,-0.124999996,-0.007352941,154.6190476,0.28125,61.96011905,25.57142857,153,544,1034,10,5.020220588
35,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,24,37,-0.213114751,-0.012138189,124.5,0.236227824,49.89449113,21.42,253,1071,1984,7,4.859010271
36,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,33,49,-0.195121949,-0.009221902,146.1466667,0.301440922,58.57924304,23.05333333,523,1735,3578,16,5.36426513
37,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,57,23,0.424999995,0.019296254,141.5352113,0.215664018,56.70035011,24.78873239,380,1762,3205,19,4.744040863
38,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,48,26,0.297297293,0.014986376,125.2058824,0.231607629,50.17499599,21.54411765,340,1468,2714,16,4.848092643
39,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,28,7,0.599999983,0.023516237,72.05882353,0.217245241,28.91042751,13.08823529,194,893,1550,1,4.566629339
40,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,51,8,0.728813547,0.030027933,133.7627119,0.214385475,53.59083894,24.10169492,307,1432,2497,4,4.559357542
41,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,36,6,0.714285697,0.062761506,159.2352941,0.246861925,63.79286242,28,118,478,904,8,4.70292887
42,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,49,16,0.5076923,0.020612117,148.6969697,0.292941911,59.59596464,24.22727273,469,1601,3238,8,5.172392255
43,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,34,74,-0.370370367,-0.04004004,85.32835821,0.239239239,34.22703898,14.88059701,239,999,1898,7,4.791791792
44,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,67,23,0.488888883,0.038698329,84.28378378,0.175021988,33.78352231,15.32432432,199,1137,1938,5,4.553210202
45,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,28,44,-0.222222219,-0.013266998,151.4680851,0.217247098,60.67413288,25.53191489,262,1206,2192,4,4.946932007
46,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,38,26,0.187499997,0.008230453,109.8271605,0.277091907,44.04170096,17.80246914,404,1458,2887,9,5.168038409
47,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,35,82,-0.401709398,-0.044804576,87.69565217,0.2478551,35.17740291,15.17391304,260,1049,2007,8,4.836034318
49,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,25,13,0.315789465,0.015645372,196.9166667,0.24380704,78.86418948,31.95833333,187,767,1503,1,5.192959583
50,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,40,25,0.230769227,0.012552301,205.5135135,0.272803347,82.31452674,32.18918919,326,1195,2406,1,5.39748954
52,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,38,12,0.51999999,0.007482014,83.16460905,0.243453237,33.36322492,14.29218107,846,3475,6095,7,4.886043165
53,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,38,53,-0.164835163,-0.008389262,127.8915663,0.260626398,51.26087707,21.38554217,466,1788,3423,7,4.99049217
54,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,30,71,-0.40594059,-0.026867628,164.3833333,0.351900393,65.89409349,25.28333333,537,1526,3266,0,5.508519004
55,https://insights.blackcoffer.com/human-rights-outlook/,5,3,0.249999969,0.011764706,107.7777778,0.223529412,43.20052288,18.77777778,38,170,318,2,4.764705882
56,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,45,4,0.836734677,0.041414141,130.4772727,0.250505051,52.29111111,21.95454545,248,990,1816,1,4.866666667
57,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,51,34,0.199999998,0.009249184,90.39495798,0.22796518,36.24916927,15.43697479,419,1838,3439,5,4.917845484
58,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,57,15,0.583333325,0.023688663,121.5795455,0.285956007,48.74620058,20.07954545,507,1773,3396,5,5.087422448
59,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,38,33,0.070422534,0.004651163,133.875,0.250232558,53.65009302,22.375,269,1075,2056,3,5.023255814
61,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,20,42,-0.354838704,-0.02244898,129.8666667,0.25,52.04666667,21.62222222,245,980,1862,4,5.016326531
62,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,43,48,-0.054945054,-0.004078303,96.61643836,0.243066884,38.7438021,16.76712329,298,1226,2313,37,4.814029364
63,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,30,28,0.034482758,0.001806685,188.0285714,0.25564589,75.31368693,31.6,283,1107,2106,12,4.977416441
64,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,26,44,-0.257142853,-0.013899614,142.875,0.277220077,57.26088803,22.875,359,1295,2535,4,5.232432432
65,https://insights.blackcoffer.com/travel-and-tourism-outlook/,6,3,0.333333296,0.015384615,106.4,0.205128205,42.64205128,19.3,40,195,340,2,4.517948718
66,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,30,46,-0.210526313,-0.014362657,112.4385965,0.241472172,45.07202747,19.43859649,269,1114,2064,13,4.809694794
67,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,13,25,-0.315789465,-0.01875,119.46875,0.2625,47.8925,19.875,168,640,1212,4,5.0296875
68,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,30,57,-0.310344824,-0.02385159,138.0196078,0.283568905,55.3212707,22.09803922,321,1132,2250,2,5.267667845
69,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,33,35,-0.029411764,-0.00181653,159.3076923,0.224341508,63.81281353,27.87179487,247,1101,1978,5,4.691189827
70,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,7,3,0.39999996,0.010025063,200.0769231,0.343358396,80.16811259,30.38461538,137,399,816,0,5.561403509
71,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,26,3,0.793103421,0.036682616,117.3666667,0.197767145,47.02577352,20.6,124,627,1083,4,4.677830941
72,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,37,57,-0.212765955,-0.018921476,200.4242424,0.284768212,80.28360425,31.63636364,301,1057,2104,1,5.300851466
73,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,34,26,0.133333331,0.010989011,118.875,0.142857143,47.60714286,22.75,104,728,1195,39,4.269230769
74,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,9,39,-0.624999987,-0.028598665,132.6938776,0.277407054,53.18851384,21.36734694,291,1049,2057,2,5.246901811
75,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,22,33,-0.199999996,-0.010638298,122.0566038,0.272727273,48.93173242,19.50943396,282,1034,2110,0,5.30754352
76,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,33,52,-0.223529409,-0.018536585,126.4117647,0.290731707,50.68099857,20.01960784,298,1025,2067,2,5.343414634
77,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,28,36,-0.124999998,-0.006254887,144.0377358,0.261923378,57.71986369,23.94339623,335,1279,2400,9,5.017982799
78,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,48,47,0.010526316,0.000632511,129.2253521,0.234661607,51.78400549,22.11267606,371,1581,2914,3,4.855154965
79,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,29,46,-0.226666664,-0.009076348,145.3026316,0.269620929,58.228901,24.07894737,505,1873,3461,8,4.958889482
80,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,30,25,0.090909089,0.005592841,358.6923077,0.130872483,143.5292721,68.69230769,117,894,1409,46,4.231543624
82,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,47,55,-0.078431372,-0.006245121,87.6875,0.192818111,35.15212724,16,247,1281,2249,7,4.539422326
83,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,8,14,-0.27272726,-0.017241379,116.4210526,0.290229885,46.68451301,18.10526316,101,348,678,1,5.41954023
85,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,56,63,-0.058823529,-0.004350528,132.9848485,0.182100684,53.26677967,24.37878788,293,1609,2763,35,4.49533872
86,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,46,66,-0.178571427,-0.011527378,115.494382,0.255331412,46.29988537,19.3258427,443,1735,3257,12,4.98443804
87,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,55,86,-0.219858154,-0.017032967,142.7368421,0.260989011,57.19913245,23.84210526,475,1820,3456,19,5.006593407
88,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,55,74,-0.147286821,-0.009693878,196.8064516,0.297959184,78.84176432,31.40322581,584,1960,3794,8,5.26377551
89,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,60,17,0.558441551,0.02340773,179.9047619,0.278715297,72.07339088,29.14285714,512,1837,3634,3,5.204681546
90,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,18,25,-0.162790694,-0.008225617,155.3939394,0.259694477,62.26145355,25.66666667,221,851,1623,3,5.0693302
91,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,50,94,-0.305555553,-0.027363184,160.7903226,0.274875622,64.42607928,25.87096774,442,1608,3186,6,5.240671642
92,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,32,46,-0.179487177,-0.014042126,129.3555556,0.273821464,51.85175081,22.02222222,273,997,1897,5,4.889669007
93,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,8,29,-0.567567552,-0.030612245,134.4375,0.281341108,53.88753644,21.3125,193,686,1348,2,5.32361516
94,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,27,63,-0.399999996,-0.021364985,200.4230769,0.253412463,80.27059575,32.26923077,427,1685,3367,2,5.220178042
95,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,101,33,0.507462683,0.03887936,153.8450704,0.285305889,61.65215052,24.5915493,499,1749,3474,0,5.28759291
96,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,34,21,0.236363632,0.009440813,163.5576923,0.266521423,65.52968549,26.13461538,367,1377,2688,8,5.227305737
97,https://insights.blackcoffer.com/continued-demand-for-sustainability/,58,34,0.260869562,0.023622047,162.3809524,0.362204724,65.09726284,23.80952381,368,1016,2254,1,5.769685039
98,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,11,15,-0.153846148,-0.010752688,248.7,0.336021505,99.6144086,37.2,125,372,843,4,5.712365591
99,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,11,7,0.22222221,0.011904762,125.3333333,0.199404762,50.21309524,22.4,67,336,601,4,4.636904762
100,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,1,15,-0.874999945,-0.034653465,145.875,0.24009901,58.4460396,25.25,97,404,726,5,4.816831683
101,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,5,7,-0.166666653,-0.008230453,153.3333333,0.21399177,61.41893004,26.55555556,52,243,433,5,4.728395062
102,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,6,12,-0.333333315,-0.023166023,96.375,0.285714286,38.66428571,16.1875,74,259,529,7,5.011583012
103,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,52,23,0.386666662,0.046774193,114.4571429,0.324193548,45.91253456,17.62857143,201,620,1303,2,5.522580645
105,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,13,48,-0.573770482,-0.035246727,169.9411765,0.225579053,68.06670221,29.05882353,224,993,1806,4,4.858006042
107,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,5,26,-0.677419333,-0.03343949,118,0.253184713,47.30127389,19.59375,159,628,1208,1,5.065286624
109,https://insights.blackcoffer.com/blockchain-in-fintech/,21,16,0.135135131,0.005268704,156.9189189,0.251844046,62.86830519,25.59459459,239,949,1804,2,5.159114858
110,https://insights.blackcoffer.com/blockchain-for-payments/,29,27,0.035714285,0.002178649,111.7307692,0.286492375,44.80690464,17.61538462,263,918,1811,11,5.387799564
111,https://insights.blackcoffer.com/the-future-of-investing/,46,14,0.533333324,0.020138452,159.3166667,0.285714286,63.84095238,25.93333333,454,1589,3047,18,5.074260541
112,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,32,47,-0.189873415,-0.012875536,103.4852941,0.313304721,41.51943954,17.07352941,365,1165,2300,3,5.102145923
113,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,36,4,0.79999998,0.043895748,161.0333333,0.355281207,64.55544582,24.06666667,259,729,1566,0,5.677640604
114,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,47,41,0.068181817,0.0056926,95.54545455,0.264705882,38.32406417,15.96969697,279,1054,2065,8,5.045540797
